          3,0       4,0       5,0       6,0       7,0       8,0       9,0       10,0      12,0      14,0      16,0      18,0      20,0      25,0      30,0      35,0      40,0      
1,0       0,7470    0,7480    0,7530    0,7620    0,7700    0,7790    0,7870    0,7950    0,8090    0,8250    0,8390    0,8520    0,8640    0,8850    0,8970    0,9050    0,9070    
2,0       0,9650    0,9640    0,9620    0,9650    0,9660    0,9680    0,9710    0,9730    0,9770    0,9830    0,9870    0,9890    0,9920    0,9970    0,9990    1,0030    1,0010    
3,0       0,9990    1,0020    1,0020    1,0020    1,0000    1,0010    1,0000    0,9990    0,9990    0,9980    0,9980    0,9970    0,9960    0,9960    0,9960    0,9990    0,9960    
4,0       0,9750    0,9810    0,9800    0,9810    0,9800    0,9800    0,9790    0,9780    0,9740    0,9730    0,9710    0,9700    0,9700    0,9670    0,9670    0,9690    0,9680    
5,0       0,9320    0,9400    0,9420    0,9420    0,9410    0,9420    0,9410    0,9400    0,9380    0,9370    0,9360    0,9340    0,9330    0,9330    0,9330    0,9350    0,9350    
6,0       0,8900    0,8970    0,8990    0,9010    0,9020    0,9030    0,9020    0,9020    0,9010    0,9010    0,9000    0,8980    0,8970    0,8980    0,8970    0,9010    0,9010    
7,0       0,8470    0,8550    0,8580    0,8610    0,8630    0,8630    0,8640    0,8640    0,8640    0,8640    0,8640    0,8640    0,8630    0,8640    0,8660    0,8680    0,8670    
8,0       0,8070    0,8160    0,8170    0,8230    0,8230    0,8240    0,8250    0,8270    0,8270    0,8280    0,8280    0,8280    0,8280    0,8300    0,8320    0,8350    0,8360    
9,0       0,7670    0,7750    0,7790    0,7850    0,7860    0,7870    0,7890    0,7910    0,7910    0,7940    0,7950    0,7950    0,7960    0,7970    0,8010    0,8050    0,8050    
10,0      0,7290    0,7390    0,7430    0,7480    0,7500    0,7540    0,7550    0,7570    0,7570    0,7600    0,7620    0,7630    0,7630    0,7670    0,7700    0,7730    0,7740    
11,0      0,6970    0,7050    0,7070    0,7120    0,7170    0,7180    0,7210    0,7240    0,7270    0,7290    0,7310    0,7320    0,7330    0,7370    0,7400    0,7430    0,7460    
12,0      0,6640    0,6710    0,6740    0,6800    0,6840    0,6860    0,6890    0,6930    0,6940    0,6980    0,7000    0,7020    0,7030    0,7070    0,7110    0,7150    0,7170    
13,0      0,6320    0,6390    0,6430    0,6480    0,6530    0,6550    0,6580    0,6610    0,6650    0,6680    0,6710    0,6730    0,6750    0,6800    0,6830    0,6880    0,6910    
14,0      0,6010    0,6090    0,6130    0,6180    0,6210    0,6260    0,6290    0,6320    0,6360    0,6390    0,6420    0,6440    0,6460    0,6520    0,6570    0,6610    0,6640    
15,0      0,5730    0,5790    0,5850    0,5900    0,5940    0,5980    0,6010    0,6050    0,6080    0,6120    0,6160    0,6190    0,6210    0,6260    0,6310    0,6360    0,6380    
16,0      0,5460    0,5530    0,5570    0,5620    0,5660    0,5710    0,5740    0,5770    0,5820    0,5860    0,5900    0,5930    0,5950    0,6010    0,6060    0,6100    0,6140    
17,0      0,5200    0,5260    0,5310    0,5370    0,5420    0,5450    0,5490    0,5530    0,5570    0,5620    0,5650    0,5690    0,5720    0,5770    0,5820    0,5870    0,5910    
18,0      0,4950    0,5020    0,5050    0,5110    0,5160    0,5200    0,5240    0,5280    0,5320    0,5370    0,5410    0,5440    0,5480    0,5530    0,5600    0,5640    0,5680    
19,0      0,4730    0,4790    0,4830    0,4880    0,4920    0,4970    0,5010    0,5040    0,5090    0,5140    0,5190    0,5220    0,5250    0,5320    0,5370    0,5430    0,5470    
20,0      0,4510    0,4560    0,4610    0,4650    0,4700    0,4740    0,4780    0,4820    0,4870    0,4920    0,4970    0,5000    0,5030    0,5110    0,5150    0,5210    0,5250    
21,0      0,4310    0,4350    0,4390    0,4440    0,4490    0,4520    0,4570    0,4610    0,4660    0,4720    0,4760    0,4800    0,4830    0,4900    0,4960    0,5000    0,5050    
22,0      0,4110    0,4150    0,4190    0,4240    0,4280    0,4320    0,4370    0,4410    0,4460    0,4520    0,4560    0,4600    0,4630    0,4700    0,4750    0,4810    0,4860    
23,0      0,3920    0,3960    0,4000    0,4050    0,4100    0,4140    0,4180    0,4210    0,4260    0,4320    0,4370    0,4400    0,4440    0,4510    0,4570    0,4630    0,4670    
24,0      0,3730    0,3780    0,3810    0,3860    0,3910    0,3960    0,3990    0,4030    0,4090    0,4140    0,4180    0,4220    0,4260    0,4330    0,4390    0,4450    0,4490    
25,0      0,3560    0,3610    0,3650    0,3690    0,3740    0,3780    0,3820    0,3860    0,3910    0,3960    0,4000    0,4040    0,4080    0,4160    0,4220    0,4270    0,4310    
26,0      0,3400    0,3450    0,3480    0,3530    0,3570    0,3610    0,3650    0,3690    0,3740    0,3790    0,3830    0,3870    0,3910    0,3990    0,4050    0,4110    0,4150    
27,0      0,3250    0,3290    0,3330    0,3370    0,3410    0,3450    0,3490    0,3530    0,3580    0,3630    0,3680    0,3720    0,3760    0,3830    0,3880    0,3940    0,3990    
28,0      0,3100    0,3140    0,3170    0,3220    0,3260    0,3300    0,3340    0,3380    0,3430    0,3480    0,3520    0,3560    0,3600    0,3680    0,3730    0,3790    0,3830    
29,0      0,2970    0,3000    0,3030    0,3080    0,3120    0,3160    0,3190    0,3230    0,3280    0,3330    0,3380    0,3410    0,3450    0,3530    0,3590    0,3640    0,3690    
30,0      0,2840    0,2860    0,2900    0,2940    0,2980    0,3020    0,3050    0,3090    0,3140    0,3200    0,3240    0,3280    0,3310    0,3390    0,3440    0,3500    0,3550    
31,0      0,2710    0,2740    0,2770    0,2810    0,2850    0,2890    0,2930    0,2960    0,3010    0,3060    0,3110    0,3140    0,3180    0,3250    0,3300    0,3370    0,3410    
32,0      0,2600    0,2620    0,2650    0,2690    0,2720    0,2760    0,2800    0,2840    0,2880    0,2930    0,2970    0,3010    0,3050    0,3120    0,3180    0,3240    0,3280    
33,0      0,2480    0,2500    0,2530    0,2570    0,2610    0,2640    0,2680    0,2710    0,2760    0,2810    0,2850    0,2890    0,2920    0,2990    0,3050    0,3110    0,3150    
34,0      0,2370    0,2400    0,2430    0,2460    0,2500    0,2530    0,2560    0,2600    0,2640    0,2690    0,2740    0,2770    0,2810    0,2880    0,2940    0,2980    0,3030    
